source,target
Shxperienced,Exhaust_Fumes
prof_nmehdiz,DrDadabhoy
prof_nmehdiz,NicoleSheriko
dmblank,dnmcinnis
dmblank,dnmcinnis
dmblank,dnmcinnis
callanjd,andykesson
callanjd,B4Shakes
gwayvt,Exhaust_Fumes
gwayvt,_theBrownprint_
gwayvt,HamletHologram
KathrynVSantos,ProfOLeary
KathrynVSantos,noraj_williams
KathrynVSantos,charlenevsmith
Shakespeare,_BenJonson_
Shakespeare,_BenJonson_
Shakespeare,Shakespeare
mollsywhat,dr_pangallo
gwayvt,ReadColleenK
lyn_tribble,DRosvally
lyn_tribble,GinaBloom5
_BenJonson_,Shakespeare
lyn_tribble,Exhaust_Fumes
RadioTaskForce,roaringgirle
pagestostages,ReadColleenK
e_ekelly,Exhaust_Fumes
e_ekelly,MaloneSociety
owilliamsdc,ReadColleenK
JonathanHsy,ReadColleenK
Exhaust_Fumes,ReadColleenK
brandycwill,Exhaust_Fumes
andykesson,Exhaust_Fumes
emeramchugh,Exhaust_Fumes
Exhaust_Fumes,MaloneSociety
16thCenturyGirl,shakespearectr
DerekVindice,earlymodatLancs
e_ekelly,andykesson
ERLathrop,Exhaust_Fumes
ERLathrop,emeramchugh
linkedlibrary,noraj_williams
linkedlibrary,AdmitMeChorus
stevermentz,andykesson
stevermentz,paul_salzman
stevermentz,LaraDodds
CristinaLAlfar,ProfKFH
CristinaLAlfar,MichaelWitmore
e_ekelly,andykesson
e_ekelly,B4Shakes
yrivaya,noraj_williams
yrivaya,AdmitMeChorus
DerekVindice,HamletHologram
DerekVindice,aliciaandrz
DerekVindice,lerikscline
DerekVindice,HamletHologram
DerekVindice,aliciaandrz
DerekVindice,lerikscline
ProfKevinGates,ReadColleenK
Lowe_EE,andykesson
Lowe_EE,andykesson
Lowe_EE,B4Shakes
Lowe_EE,dr_pangallo
jmbnpa,dr_pangallo
mjacquez12,andykesson
mjacquez12,B4Shakes
Christo92874428,TheLittleProf
Christo92874428,mj_kidnie
TheLittleProf,mj_kidnie
bw_christopher,DRosvally
TheLittleProf,ProfKFH
TheLittleProf,MichaelWitmore
Calthalas,noraj_williams
Calthalas,AdmitMeChorus
KarlSteel,noraj_williams
KarlSteel,AdmitMeChorus
kscheilmn,thea987
JonathanHsy,MarGalarrita
JonathanHsy,noraj_williams
JonathanHsy,AdmitMeChorus
JonathanHsy,noraj_williams
JonathanHsy,K_Leonard_PhD
RickGodden,DRosvally
JonathanHsy,MiraAssafK
andykesson,DrPeteKirwan
MrShaxper,dr_pangallo
olidhar,gwayvt
olidhar,DrDadabhoy
olidhar,ProfKFH
olidhar,MichaelWitmore
ashleymomara,trickyholly
michaelmwagoner,noraj_williams
michaelmwagoner,AdmitMeChorus
S_moores,Exhaust_Fumes
S_moores,emeramchugh
trickyholly,noraj_williams
trickyholly,Exhaust_Fumes
pagestostages,andykesson
pagestostages,B4Shakes
harrismercer,dr_pangallo
CRCliff,dr_pangallo
emeramchugh,Exhaust_Fumes
emeramchugh,emeramchugh
LaraDodds,andykesson
LaraDodds,B4Shakes
LaraDodds,dr_pangallo
MLAgrads,EpistolaryBrown
kscheilmn,KatePitt
kscheilmn,Paul_Edmondson
andykesson,keenera
kscheilmn,KatePitt
kscheilmn,Paul_Edmondson
Exhaust_Fumes,LaraDodds
Exhaust_Fumes,S_moores
Exhaust_Fumes,BritLitGirl
Exhaust_Fumes,S_moores
Exhaust_Fumes,BritLitGirl
shakesinireland,DREditions
Evcoc54,timgradtim
SC_Coursey,lerikscline
SC_Coursey,jmgmbl
helsbelshopkins,Paul_Edmondson
helsbelshopkins,DarrenF_Jones
BeyondShakes,andykesson
BeyondShakes,B4Shakes
EmmaDepledge1,dr_pangallo
lerikscline,lerikscline
lerikscline,lerikscline
lerikscline,jmgmbl
adjarhane,ADietering
hbachrach,andykesson
hbachrach,B4Shakes
UmmAlDunya,aewaiwhy
andykesson,B4Shakes
UmmAlDunya,andykesson
UmmAlDunya,B4Shakes
andykesson,B4Shakes
PascaleExeter,noraj_williams
PascaleExeter,AdmitMeChorus
harrismercer,NobleHadassah
noraj_williams,AdmitMeChorus
publicradionerd,ReadColleenK
bjirish,c_perry
Laura_Estill,AdmitMeChorus
LizzieScoBau,medrenliza
LizzieScoBau,thecompass
LizzieScoBau,WendyWall61
LizzieScoBau,robert_stagg
publicradionerd,ReadColleenK
noraj_williams,ReadColleenK
noraj_williams,Exhaust_Fumes
noraj_williams,emeramchugh
Flight_Refunds,robin__craig
SC_Coursey,AlysiaKolentsis
SC_Coursey,jmgmbl
alasdair_h,HamletHologram
alasdair_h,lizzo
iansdonnelly,Paul_Edmondson
iansdonnelly,DarrenF_Jones
stanley_wells,KatePitt
stanley_wells,Paul_Edmondson
stanley_wells,KatePitt
stanley_wells,Paul_Edmondson
EvaGriffith19,Exhaust_Fumes
EvaGriffith19,ProfKFH
EvaGriffith19,Exhaust_Fumes
EvaGriffith19,ProfKFH
melissahgeil,prof_nmehdiz
EvaGriffith19,rgwakeman
e_ekelly,MrShaxper
e_ekelly,bkadams
e_ekelly,bkadams
Paul_Edmondson,thea987
Paul_Edmondson,helsbelshopkins
Paul_Edmondson,mj_kidnie
Paul_Edmondson,DrFarahKC
Paul_Edmondson,KatePitt
Paul_Edmondson,Paul_Edmondson
oneunionmom,ReadColleenK
Paul_Edmondson,KatePitt
Paul_Edmondson,Paul_Edmondson
Becky_Fall,emeramchugh
Becky_Fall,keenera
Becky_Fall,mandyzoch
Exhaust_Fumes,emeramchugh
PascaleExeter,thea987
charlenevsmith,richardmpreiss
LaraDodds,Shakespeare
LaraDodds,noraj_williams
LaraDodds,Exhaust_Fumes
HamletHologram,aliciaandrz
HamletHologram,lerikscline
vbilling,GinaBloom5
emeramchugh,Thisbysmantle
LizzyLaurie,Thisbysmantle
dorothyk98,ReadColleenK
LizzyLaurie,DRosvally
gwayvt,DRosvally
gwayvt,Thisbysmantle
gwayvt,andykesson
LaraDodds,bkadams
tfrancisco203,ProfOLeary
tfrancisco203,ezkolkovich
tfrancisco203,tfrancisco203
tfrancisco203,dr_jen_feather
gwayvt,Thisbysmantle
gwayvt,trickyholly
CRCliff,ProfKFH
CRCliff,MichaelWitmore
DerekVindice,MrShaxper
DerekVindice,noraj_williams
DerekVindice,Exhaust_Fumes
JonathanHsy,andykesson
JonathanHsy,Exhaust_Fumes
JonathanHsy,dorothyk98
JonathanHsy,trickyholly
pmcquade98,eileen__sperry
JonathanHsy,prof_nmehdiz
jmgmbl,HamletHologram
JonathanHsy,andykesson
jesshamlet,jmgmbl
ERLathrop,HamletHologram
ERLathrop,lizzo
dan_rudmann,KathrynVSantos
FayazKabani,DrDadabhoy
FayazKabani,DRosvally
FayazKabani,ReadColleenK
anxiety_turnt,DRosvally
gwayvt,WSperrazza
gwayvt,keenera
gwayvt,_jjedwards
gwayvt,jmgmbl
gwayvt,NicoleSheriko
ERendek,prof_nmehdiz
standardstaple8,ProfKFH
standardstaple8,MichaelWitmore
StepKeen,CarlaDellaGatta
StepKeen,keenera
